title,bagofwords
Mary Poppins Returns,animation comedy family robmarshall emilyblunt lin-manuelmiranda benwhishaw emilymortimer animation comedy family robmarshall emilyblunt lin-manuelmiranda benwhishaw emilymortimer original visit mary poppins magical nanny difficult time banks siblings returns michael lives help decades children 
Andhadhun,crime drama music sriramraghavan ayushmannkhurrana tabu radhikaapte anildhawan crime drama music sriramraghavan ayushmannkhurrana tabu radhikaapte anildhawan technically know nothing mysterious events change blind pianist series report must life crime 
Blockers,comedy kaycannon lesliemann johncena ikebarinholtz kathrynnewton comedy kaycannon lesliemann johncena ikebarinholtz kathrynnewton three parents try prom night virginity stop losing daughters 
Mile 22,action thriller peterberg markwahlberg laurencohan ikouwais johnmalkovich action thriller peterberg markwahlberg laurencohan ikouwais johnmalkovich secret tactical command unit elite american intelligence officers mysterious police officer small team sensitive information try top smuggle part indonesia 
The Spy Who Dumped Me,action adventure comedy susannafogel justintheroux blankagyörfi-tóth vilmaszécsi milakunis action adventure comedy susannafogel justintheroux blankagyörfi-tóth vilmaszécsi milakunis unwittingly become entangled women discovers international conspiracy best friends spy one morgan dumped boyfriend audrey actually 
Christopher Robin,adventure comedy drama marcforster ewanmcgregor hayleyatwell brontecarmichael markgatiss adventure comedy drama marcforster ewanmcgregor hayleyatwell brontecarmichael markgatiss class family man childhood friend winnie christopher robin working rediscover pooh life joys helps encounters 
12 Strong,action drama history nicolaifuglsig chrishemsworth michaelshannon michaelpeña navidnegahban action drama history nicolaifuglsig chrishemsworth michaelshannon michaelpeña navidnegahban first special forces team deployed team must work 12 strong tells new captain afghan warlord taliban take story leadership afghanistan 9 11 
The Kissing Booth,comedy romance vincemarcello joeyking jacobelordi joelcourtney meganduplessis comedy romance vincemarcello joeyking jacobelordi joelcourtney meganduplessis high school student secret crush kissing booth forced confront 
Sorry to Bother You,comedy fantasy sci-fi bootsriley lakeithstanfield tessathompson jermainefowler omarihardwick comedy fantasy sci-fi bootsriley lakeithstanfield tessathompson jermainefowler omarihardwick telemarketer cassius green discovers professional success magical key day version alternate present universe propelling oakland greed 
Mandy,horror mystery thriller panoscosmatos nicolascage andreariseborough linusroache neddennehy horror mystery thriller panoscosmatos nicolascage andreariseborough linusroache neddennehy nightmarish hippie cult surreal rampage secluded forest enchanted lives brutally shattered biker henchmen vengeance spiraling propelling man demon couple 
Robin Hood,action adventure drama ottobathurst taronegerton jamiefoxx benmendelsohn evehewson action adventure drama ottobathurst taronegerton jamiefoxx benmendelsohn evehewson moorish commander mount corrupt english crown hardened crusader audacious revolt war 
Johnny English Strikes Again,action adventure comedy davidkerr rowanatkinson benmiller olgakurylenko emmathompson action adventure comedy davidkerr rowanatkinson benmiller olgakurylenko emmathompson active undercover agents mastermind hacker johnny english attack reveals retirement identity forced find cyber come britain 
Eighth Grade,comedy drama boburnham elsiefisher joshhamilton emilyrobinson jakeryan comedy drama boburnham elsiefisher joshhamilton emilyrobinson jakeryan introverted teenage girl tries disastrous eighth grade year start high school last week survive leaving 
Death Wish,action crime drama eliroth brucewillis vincentd'onofrio elisabethshue camilamorrone action crime drama eliroth brucewillis vincentd'onofrio elisabethshue camilamorrone life saving lives experienced trauma surgeon paul kersey paul embarks spent mission man justice family dr attack 
Suspiria,fantasy horror mystery lucaguadagnino chloëgracemoretz tildaswinton dorishick malgorzatabela fantasy horror mystery lucaguadagnino chloëgracemoretz tildaswinton dorishick malgorzatabela renowned dance company ambitious young dancer grieving psychotherapist finally wake darkness swirls artistic director world succumb others one nightmare engulf center 
The Christmas Chronicles,adventure comedy family claykaytis kurtrussell darbycamp judahlewis oliverhudson adventure comedy family claykaytis kurtrussell darbycamp judahlewis oliverhudson whose christmas eve plan catch santa claus unexpected journey teddy pierce kids could camera turns story sister kate dream brother 
Outlaw King,action biography drama davidmackenzie chrispine stephendillane rebeccarobin billyhowle action biography drama davidmackenzie chrispine stephendillane rebeccarobin billyhowle better equipped occupying english army true david vs bruce used cunning 14th century scottish outlaw king much larger goliath story robert defeat bravery 
The House That Jack Built,crime drama horror larsvontrier mattdillon brunoganz umathurman siobhanfallonhogan crime drama horror larsvontrier mattdillon brunoganz umathurman siobhanfallonhogan highly intelligent serial killer story follows jack twelve years really develop inner madman murders depicts course 
Hotel Transylvania 3: Summer Vacation,animation adventure comedy genndytartakovsky adamsandler andysamberg selenagomez kevinjames animation adventure comedy genndytartakovsky adamsandler andysamberg selenagomez kevinjames hating van helsing family loving monsters count dracula company participate unaware sea monster cruise commandeered boat 
Peppermint,action drama thriller pierremorel jennifergarner johngallagherjr. johnortiz juanpabloraba action drama thriller pierremorel jennifergarner johngallagherjr. johnortiz juanpabloraba woman comes back senseless act seek revenge imposed exile go free five years violence system self responsible let killed husband daughter 
Beautiful Boy,biography drama felixvangroeningen stevecarell mauratierney jackdylangrazer oakleybull biography drama felixvangroeningen stevecarell mauratierney jackdylangrazer oakleybull beautiful boy chronicles son david selling pair nic sheff many years inspiring experience family coping survival relapse recovery memoirs heartbreaking father best based addiction 
Fifty Shades Freed,drama romance thriller jamesfoley dakotajohnson jamiedornan ericjohnson eloisemumford drama romance thriller jamesfoley dakotajohnson jamiedornan ericjohnson eloisemumford jack hyde continues christian get married threaten relationship anastasia 
Mowgli: Legend of the Jungle,adventure drama fantasy andyserkis christianbale cateblanchett benedictcumberbatch naomieharris adventure drama fantasy andyserkis christianbale cateblanchett benedictcumberbatch naomieharris menacing tiger named shere khan wolves must face human child raised well origins 
The Grinch,animation comedy family yarrowcheney scottmosier benedictcumberbatch cameronseely rashidajones pharrellwilliams animation comedy family yarrowcheney scottmosier benedictcumberbatch cameronseely rashidajones pharrellwilliams ruin christmas grumpy grinch benedict cumberbatch whoville village plots 
The Sisters Brothers,crime drama western jacquesaudiard johnc.reilly joaquinphoenix jakegyllenhaal rizahmed crime drama western jacquesaudiard johnc.reilly joaquinphoenix jakegyllenhaal rizahmed unexpected ally infamous duo gunslinging assassins gold prospector charlie sisters 1850s oregon eli chase 
Alpha,action adventure drama alberthughes kodismit-mcphee jóhanneshaukurjóhannesson marcinkowalczyk jenshultén action adventure drama alberthughes kodismit-mcphee jóhanneshaukurjóhannesson marcinkowalczyk jenshultén similarly lost wolf companion young man struggles would change humanity return home prehistoric past buffalo hunt tribe starts separated friendship finds 
Hunter Killer,action thriller donovanmarsh gerardbutler garyoldman common lindacardellini action thriller donovanmarsh gerardbutler garyoldman common lindacardellini untested american submarine captain teams russian president rogue general navy seals u rescue kidnapped 
The First Purge,action horror sci-fi gerardmcmurray y'lannoel lexscottdavis joivanwade steveharris action horror sci-fi gerardmcmurray y'lannoel lexscottdavis joivanwade steveharris third political party new founding fathers 12 hours staten island island stay power one laws given experiment conducts comes anyone america 5 000 
