title,bagofwords
Joe Versus the Volcano,comedy romance johnpatrickshanley tomhanks megryan lloydbridges robertstack comedy romance johnpatrickshanley tomhanks megryan lloydbridges robertstack truly live tropical island hypochondriac learns learns way volcano throw offer dying along accepts 
Lionheart,action crime drama sheldonlettich jean-claudevandamme harrisonpage deborahrennard lisapelikan action crime drama sheldonlettich jean-claudevandamme harrisonpage deborahrennard lisapelikan french soldier begins participating underground street fights make money order family ex brother 
King of New York,crime thriller abelferrara christopherwalken davidcaruso laurencefishburne victorargo crime thriller abelferrara christopherwalken davidcaruso laurencefishburne victorargo take total control give back drug kingpin criminal underworld seeks released prison order community 
Young Guns II,action western geoffmurphy emilioestevez kiefersutherland loudiamondphillips christianslater action western geoffmurphy emilioestevez kiefersutherland loudiamondphillips christianslater cattle baron john chisum pays patrick floyd garrett kill outlaw billy kid bounty 1881 
Troll 2,comedy fantasy horror claudiofragasso michaelpaulstephenson georgehardy margoprey connieyoung comedy fantasy horror claudiofragasso michaelpaulstephenson georgehardy margoprey connieyoung vacationing family discovers entire town visiting plan inhabited humans goblins eat disguised 
Mermaids,comedy drama romance richardbenjamin cher bobhoskins winonaryder michaelschoeffling comedy drama romance richardbenjamin cher bobhoskins winonaryder michaelschoeffling unconventional single mother relocates small massachusetts town two daughters familial bonds strengthen relationships number events challenge 1963 
Problem Child,comedy family dennisdugan michaeloliver johnritter jackwarden gilbertgottfried comedy family dennisdugan michaeloliver johnritter jackwarden gilbertgottfried laughs keep coming young boy wacky wife loving man boy pushes short monster limits adopted 
Lord of the Flies,adventure drama thriller harryhook balthazargetty chrisfurrh danuelpipoly jamesbadgedale adventure drama thriller harryhook balthazargetty chrisfurrh danuelpipoly jamesbadgedale schoolboys degenerate stranded savagery island group 
Hard to Kill,action crime drama brucemalmuth stevenseagal kellylebrock williamsadler frederickcoffin action crime drama brucemalmuth stevenseagal kellylebrock williamsadler frederickcoffin detective mason storm wife killed take revenge quick recovery murder make left l house expose dead behind 
Air America,action comedy war rogerspottiswoode melgibson robertdowneyjr. nancytravis kenjenkins action comedy war rogerspottiswoode melgibson robertdowneyjr. nancytravis kenjenkins young pilot finds airlift organization operating vietnam war recruited unwittingly era laos corrupt c covert 
Memphis Belle,action drama war michaelcaton-jones matthewmodine ericstoltz tatedonovan d.b.sweeney action drama war michaelcaton-jones matthewmodine ericstoltz tatedonovan d.b.sweeney last bombing mission uk prepares returning home 17 based usa germany crew b 25th 1943 
Pump Up the Volume,comedy drama music allanmoyle christianslater samanthamathis anthonylucero andyromano comedy drama music allanmoyle christianslater samanthamathis anthonylucero andyromano pirate radio station enthralls fellow teens mark runs uproar speaks mind causes 
The Exorcist III,drama horror mystery williampeterblatty georgec.scott edflanders braddourif jasonmiller drama horror mystery williampeterblatty georgec.scott edflanders braddourif jasonmiller deceased gemini serial killer police lieutenant uncovers psychiatric ward series question patients murders leads investigation hallmarks bargained 
The Rookie,action crime drama clinteastwood clinteastwood charliesheen rauljulia sôniabraga action crime drama clinteastwood clinteastwood charliesheen rauljulia sôniabraga veteran detective gets stuck rookie cop german crook pursuit 
The Grifters,crime drama thriller stephenfrears anjelicahuston johncusack annettebening janmunroe crime drama thriller stephenfrears anjelicahuston johncusack annettebening janmunroe torn loyalties time conman stakes grifters new girlfriend estranged mother small play high angles 
DuckTales the Movie: Treasure of the Lost Lamp,animation adventure comedy bobhathcock alanyoung christopherlloyd terencemcgovern russitaylor animation adventure comedy bobhathcock alanyoung christopherlloyd terencemcgovern russitaylor scrooge mcduck takes huey magic lamp pyramid louie find egypt dewey 
The NeverEnding Story II: The Next Chapter,adventure drama family georgemiller jonathanbrandis kennymorrison clarissaburt johnwesleyshipp adventure drama family georgemiller jonathanbrandis kennymorrison clarissaburt johnwesleyshipp distant father enters young boy portal within antique book world make magic believe 
Dreams,drama fantasy akirakurosawa ishirôhonda akiraterao mitsukobaishô toshienegishi miekoharada drama fantasy akirakurosawa ishirôhonda akiraterao mitsukobaishô toshienegishi miekoharada tales based upon eight director akira kurosawa recurring dreams collection 
Three Men and a Little Lady,comedy drama family emileardolino tomselleck steveguttenberg teddanson nancytravis comedy drama family emileardolino tomselleck steveguttenberg teddanson nancytravis equally charming sequel dads quickly discover three ex outrageous lengths little lady empty life daughter back critically acclaimed without win go efforts 
Men at Work,action comedy crime emilioestevez charliesheen emilioestevez lesliehope keithdavid action comedy crime emilioestevez charliesheen emilioestevez lesliehope keithdavid conspiracy involving illegal toxic waste dumping two garbage men uncover whole operation decide bring 
Green Card,comedy drama romance peterweir gérarddepardieu andiemacdowell bebeneuwirth greggedelman comedy drama romance peterweir gérarddepardieu andiemacdowell bebeneuwirth greggedelman us enters man wanting turns stay marriage convenience 
The Bonfire of the Vanities,comedy drama romance briandepalma tomhanks brucewillis melaniegriffith kimcattrall comedy drama romance briandepalma tomhanks brucewillis melaniegriffith kimcattrall wall street hotshot sees young teen mistress runs life unravel spotlight reporter interest attracting 
Hamlet,drama francozeffirelli melgibson glennclose alanbates paulscofield drama francozeffirelli melgibson glennclose alanbates paulscofield uncle claudius killed plans revenge throne prince obtain hamlet finds father denmark 
State of Grace,action crime drama philjoanou seanpenn edharris garyoldman robinwright action crime drama philjoanou seanpenn edharris garyoldman robinwright new york cop mob ran best friend return recruited infiltrate hometown brother 
Rosencrantz & Guildenstern Are Dead,comedy drama tomstoppard garyoldman timroth richarddreyfuss liviobadurina comedy drama tomstoppard garyoldman timroth richarddreyfuss liviobadurina two minor characters stumble around unaware scripted lives unable play hamlet deviate 
